iter	Passed	Remaining
0	12	1251
1	23	1165
2	35	1134
3	45	1085
4	54	1035
5	63	996
6	72	966
7	82	943
8	91	921
9	99	899
10	109	885
11	118	872
12	128	858
13	137	842
14	146	828
15	154	812
16	163	799
17	172	787
18	181	775
19	190	763
20	199	751
21	208	740
22	217	729
23	227	720
24	237	711
25	246	701
26	255	691
27	264	681
28	273	670
29	282	660
30	291	649
31	300	638
32	309	628
33	318	618
34	327	608
35	336	597
36	345	587
37	354	578
38	363	567
39	371	557
40	380	547
41	389	538
42	399	529
43	408	520
44	417	510
45	426	500
46	435	491
47	444	481
48	453	471
49	462	462
50	471	453
51	480	443
52	489	433
53	498	424
54	507	415
55	516	406
56	525	396
57	534	386
58	543	377
59	552	368
60	561	358
61	570	349
62	579	340
63	588	331
64	597	321
65	606	312
66	616	303
67	625	294
68	634	284
69	644	276
70	653	266
71	661	257
72	670	247
73	679	238
74	688	229
75	697	220
76	706	210
77	715	201
78	724	192
79	734	183
80	752	176
81	772	169
82	783	160
83	793	151
84	804	141
85	813	132
86	821	122
87	831	113
88	840	103
89	849	94
90	858	84
91	867	75
92	876	65
93	885	56
94	894	47
95	903	37
96	913	28
97	922	18
98	931	9
99	940	0
